experiment_id,feature_count,sampling_seed,accuracy,precision,recall,f1_score,roc_auc,true_positives,true_negatives,false_positives,false_negatives,training_time_seconds,prediction_time_seconds
Random_53,20,20260955,0.9550034127909445,0.9987666328663369,0.9470951384827921,0.9722448288921299,0.9957773018040599,241317,51106,298,13480,7.281127900001593,0.8920062999823131
Random_54,20,20260956,0.9729883311942156,0.9998215835272937,0.9677115507639414,0.98350455015945,0.9885854494063621,246570,51360,44,8227,5.6002548999967985,0.8082394999801181
Random_55,20,20260957,0.9380504962426641,0.996375499894759,0.9289316593209496,0.9614722949464504,0.9948511165942587,236689,50543,861,18108,9.037525099993218,0.9478292999847326
Random_56,20,20260958,0.9763913246527608,0.9998344437714517,0.971789306781477,0.9856124128515047,0.9968441788285498,247609,51363,41,7188,8.211519800010137,1.109102200018242
Random_57,20,20260959,0.9370413551882587,0.9967267189997933,0.9273853302825387,0.960806557856986,0.9945355741867243,236295,50628,776,18502,8.285494199983077,0.9123678999894764
Random_58,20,20260960,0.9718648861368839,0.9984975134049343,0.9676448309830964,0.9828291022301239,0.9966171606414013,246553,51033,371,8244,6.001966199983144,0.9360914999851957
Random_59,20,20260961,0.971770177105888,0.9985175284039127,0.9675113914214061,0.9827699618483422,0.9941025220625965,246519,51038,366,8278,7.20938169999863,0.93098549998831
Random_60,20,20260962,0.942482225727545,0.9996082082478484,0.9312433034925843,0.964215471139936,0.9975013670054453,237278,51311,93,17519,5.523426400002791,0.9571192000003066
Random_61,30,20260963,0.9751274489632626,0.9997735479775004,0.9703293209888656,0.9848314047282359,0.9991147861219741,247237,51348,56,7560,8.214282300003106,0.9602167999837548
Random_62,30,20260964,0.9401014366380254,0.9968606850178608,0.9309489515182675,0.9627780585168454,0.9954951005430345,237203,50657,747,17594,11.524413699982688,1.09099180001067
Random_63,30,20260965,0.9712509103497375,0.9991032154393027,0.9663182847521753,0.9824373095945399,0.9934495885631889,246215,51183,221,8582,9.378756099991733,0.9651101999916136
Random_64,30,20260966,0.9594286106185153,0.9997031148203432,0.9515261168695078,0.9750198566301037,0.994202411164381,242446,51332,72,12351,8.67761480002082,1.0118913000042085
Random_65,30,20260967,0.9729164829638048,0.9997486092414487,0.9676958519919779,0.9834611357630753,0.9981815909939259,246566,51342,62,8231,10.746529800002463,1.1324501000053715
Random_66,30,20260968,0.9708851375403738,0.9997479736266595,0.9652546929516439,0.98219858906596,0.9968508507073794,245944,51342,62,8853,8.981915899988962,0.9989295999985188
Random_67,30,20260969,0.9385795604847796,0.996499112154645,0.929453643488738,0.961809398295465,0.9948570767770001,236822,50572,832,17975,2.928061200014781,0.4261930999928154
Random_68,30,20260970,0.9762574256779044,0.9997173624261609,0.9717422104655863,0.9855313017450006,0.9967569008684488,247597,51334,70,7200,3.256045300018741,0.39650270002312027
Random_69,30,20260971,0.9763390713942802,0.9997940675296987,0.9717657586235317,0.9855806834895343,0.9987149891361331,247603,51353,51,7194,3.0635916000173893,0.4576105999876745
Random_70,30,20260972,0.9729230146211149,0.9997445586947354,0.9677076260709506,0.9834652562975017,0.9958630551319465,246569,51341,63,8228,2.2806449999916367,0.37397439999040216
