feature_name,success_group,successful_set_count,overall_sets_with_feature,successful_sets_with_feature,overall_frequency,successful_frequency,enrichment_ratio,successful_appearance_percentage
Down/Up Ratio,beats_top_10,1,18,0,0.2571428571428571,0.0,0.0,0.0
Flow Bytes/s,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Flow Duration,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Flow IAT Max,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Flow IAT Min,beats_top_10,1,17,0,0.24285714285714285,0.0,0.0,0.0
Flow IAT Std,beats_top_10,1,19,0,0.2714285714285714,0.0,0.0,0.0
Flow Packets/s,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Fwd Act Data Packets,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Fwd IAT Mean,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Fwd IAT Min,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Fwd IAT Total,beats_top_10,1,12,0,0.17142857142857143,0.0,0.0,0.0
Fwd PSH Flags,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Fwd Packet Length Mean,beats_top_10,1,19,0,0.2714285714285714,0.0,0.0,0.0
Fwd Packet Length Min,beats_top_10,1,21,0,0.3,0.0,0.0,0.0
Fwd Packet Length Std,beats_top_10,1,18,0,0.2571428571428571,0.0,0.0,0.0
Fwd Packets Length Total,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Fwd Packets/s,beats_top_10,1,15,0,0.21428571428571427,0.0,0.0,0.0
Fwd Seg Size Min,beats_top_10,1,10,0,0.14285714285714285,0.0,0.0,0.0
Idle Mean,beats_top_10,1,18,0,0.2571428571428571,0.0,0.0,0.0
Idle Min,beats_top_10,1,16,0,0.22857142857142856,0.0,0.0,0.0
Idle Std,beats_top_10,1,17,0,0.24285714285714285,0.0,0.0,0.0
Init Bwd Win Bytes,beats_top_10,1,22,0,0.3142857142857143,0.0,0.0,0.0
Packet Length Max,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Packet Length Mean,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Packet Length Min,beats_top_10,1,13,0,0.18571428571428572,0.0,0.0,0.0
Packet Length Std,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
Packet Length Variance,beats_top_10,1,17,0,0.24285714285714285,0.0,0.0,0.0
RST Flag Count,beats_top_10,1,15,0,0.21428571428571427,0.0,0.0,0.0
SYN Flag Count,beats_top_10,1,17,0,0.24285714285714285,0.0,0.0,0.0
Subflow Bwd Bytes,beats_top_10,1,15,0,0.21428571428571427,0.0,0.0,0.0
Subflow Bwd Packets,beats_top_10,1,11,0,0.15714285714285714,0.0,0.0,0.0
Subflow Fwd Bytes,beats_top_10,1,24,0,0.34285714285714286,0.0,0.0,0.0
Subflow Fwd Packets,beats_top_10,1,19,0,0.2714285714285714,0.0,0.0,0.0
Total Backward Packets,beats_top_10,1,10,0,0.14285714285714285,0.0,0.0,0.0
URG Flag Count,beats_top_10,1,14,0,0.2,0.0,0.0,0.0
