model,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,experiment_type,f1_delta_vs_baseline_65,f1_delta_vs_top_10
Random_15_06,15,76.92307692307693,0.9689191086900435,0.9999143982194829,0.9627311153585011,0.9809705290140946,0.9966277519832499,51383,21,9496,245301,1.4126832999754697,0.34042230003979057,random_feature_search,-0.0024463349284037372,-0.0050388246073005405
Random_15_07,15,76.92307692307693,0.9673482451069723,0.9987165330910365,0.9619971977692044,0.9800130341085829,0.9983235849952401,51089,315,9683,245114,1.0659636000054888,0.3391016999958083,random_feature_search,-0.003403829833915517,-0.00599631951281232
Random_15_08,15,76.92307692307693,0.9708100234813081,0.9975392087422847,0.9673073073858798,0.9821906781011891,0.9856450809311595,50796,608,8330,246467,1.230788599990774,0.3405780000030063,random_feature_search,-0.0012261858413092908,-0.003818675520206094
Random_15_09,15,76.92307692307693,0.9408754380292683,0.9998395060164126,0.929096496426567,0.963170764454824,0.9962842496120783,51366,38,18066,236731,1.2811066000140272,0.3408356999862008,random_feature_search,-0.020246099487674418,-0.02283858916657122
Random_15_10,15,76.92307692307693,0.936780088895856,0.9996901330729885,0.9243122956706712,0.9605246522099098,0.9983355955300179,51331,73,19285,235512,1.439152600010857,0.32944689999567345,random_feature_search,-0.022892211732588597,-0.0254847014114854
Random_20_01,20,69.23076923076923,0.9578446837208239,0.99642899654803,0.9527545457756567,0.9741024745900093,0.9942131930375376,50534,870,12038,242759,2.0301084999809973,0.350211400014814,random_feature_search,-0.009314389352489072,-0.011906879031385875
Random_20_02,20,69.23076923076923,0.9587068624857529,0.999690470196407,0.9506705337974937,0.9745644739489037,0.9986610123915158,51329,75,12569,242228,1.5267565000103787,0.33189580001635477,random_feature_search,-0.008852389993594723,-0.011444879672491526
Random_20_03,20,69.23076923076923,0.9726878749579525,0.999549980539699,0.9676134334391692,0.9833224649169513,0.9972201773049493,51293,111,8252,246545,1.7574038000311702,0.3302354000043124,random_feature_search,-9.439902554708723e-05,-0.0026868887044438905
Random_20_04,20,69.23076923076923,0.9731189643404169,0.9997972967494507,0.9678920866415225,0.9835860272841666,0.9994845551293475,51354,50,8181,246616,1.6160399000509642,0.3454438999760896,random_feature_search,0.00016916334166816593,-0.0024233263372286373
Random_20_05,20,69.23076923076923,0.966835510008132,0.9997711988363827,0.960364525484994,0.979671745227214,0.9992093977241233,51348,56,10099,244698,1.56744150002487,0.3316030999994837,random_feature_search,-0.003745118715284379,-0.006337608394181182
Random_20_06,20,69.23076923076923,0.9495821372235884,0.9996993774608252,0.9396931675019722,0.9687679546833906,0.9991157523306312,51332,72,15366,239431,1.9739122000173666,0.32443129998864606,random_feature_search,-0.014648909259107779,-0.017241398938004582
Random_20_07,20,69.23076923076923,0.9723123046626235,0.9987042383553545,0.967982354580313,0.9831033410661756,0.9928683795458797,51084,320,8158,246639,1.6517425999627449,0.36137280002003536,random_feature_search,-0.0003135228763228026,-0.002906012555219606
Random_20_08,20,69.23076923076923,0.9729458754217001,0.9997445659445586,0.9677350989218868,0.9834794470281352,0.9985617760436555,51341,63,8221,246576,1.6812803999637254,0.34439570002723485,random_feature_search,6.258308563678039e-05,-0.002529906593260023
Random_20_09,20,69.23076923076923,0.9729197487924599,0.9996068082967503,0.96783714093965,0.983465471309841,0.998686079417254,51307,97,8195,246602,1.4745112000382505,0.34556369995698333,random_feature_search,4.860736734257909e-05,-0.002543882311554224
Random_20_10,20,69.23076923076923,0.9734782054924707,0.9997366352519793,0.9683826732653839,0.9838099054431493,0.9989435201212531,51339,65,8056,246741,1.6709340999950655,0.33286250004312024,random_feature_search,0.0003930415006508925,-0.0021994481782459108
Random_30_01,30,53.84615384615385,0.9403398421298428,0.9996662258594684,0.9286137591886875,0.9628309365106493,0.9984974179195606,51325,79,18189,236608,2.7712367000058293,0.3677460999460891,random_feature_search,-0.02058592743184906,-0.023178417110745864
Random_30_02,30,53.84615384615385,0.9715285057854155,0.9997400561316291,0.9660357068568312,0.9825989413258177,0.9937958723631533,51340,64,8654,246143,2.0556026000413112,0.347475599963218,random_feature_search,-0.0008179226166806775,-0.0034104122955774807
Random_30_03,30,53.84615384615385,0.9735696486948116,0.9998703235427608,0.9683630498004293,0.9838645041021602,0.9930688810125551,51372,32,8061,246736,2.6089426999678835,0.38919120002537966,random_feature_search,0.0004476401596618107,-0.0021448495192349926
Random_30_04,30,53.84615384615385,0.9719465318532597,0.9996833940161469,0.9665930132615376,0.982859765344401,0.9973607449364389,51326,78,8512,246285,2.1333486999501474,0.3671757000265643,random_feature_search,-0.000557098598097383,-0.0031495882769941863
Random_30_05,30,53.84615384615385,0.9707740993661027,0.9997073075547173,0.9651605003198624,0.9821301985466934,0.9956061595666127,51332,72,8877,245920,2.5718482000520453,0.35520120000001043,random_feature_search,-0.00128666539580502,-0.0038791550747018233
Random_30_06,30,53.84615384615385,0.9515416344166087,0.9965771709303721,0.9450111265046292,0.9701093853870792,0.9947548722101867,50577,827,14011,240786,1.8930626999936067,0.35180960001889616,random_feature_search,-0.013307478555419139,-0.015899968234315942
Random_30_07,30,53.84615384615385,0.9596996743968831,0.9995426056642726,0.9520049294143965,0.9751947832659263,0.9955771071114962,51293,111,12229,242568,1.8512475999887101,0.36472090001916513,random_feature_search,-0.008222080676572041,-0.010814570355468844
Random_30_08,30,53.84615384615385,0.9725768367836813,0.9995458673932789,0.9674839185704698,0.9832535932878759,0.9976567480166673,51292,112,8285,246512,2.242026000050828,0.3857627999968827,random_feature_search,-0.000163270654622516,-0.0027557603335193193
Random_30_09,30,53.84615384615385,0.9718354936789887,0.996887552227358,0.9691793859425346,0.9828382207788072,0.9947351959492395,50633,771,7853,246944,2.054977099993266,0.3689158000051975,random_feature_search,-0.0005786431636911615,-0.003171132842587965
Random_30_10,30,53.84615384615385,0.9569955682705151,0.9997187351353587,0.9485865218193307,0.9734816598934272,0.9951571639689214,51336,68,13100,241697,1.9883645999943838,0.36130940000293776,random_feature_search,-0.009935204049071222,-0.012527693727968026
