experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_8_01,8,87.6923076923077,0.970310351697088,0.99912649917119,0.9651644250128534,0.9818518644209904,0.9938498278061336,51189,215,8876,245921,1.5070859999977984,0.2924219000269659,-0.0015649995215080148,-0.004157489200404818,Worse than reference,Worse than reference,False,False
Random_8_02,8,87.6923076923077,0.9716232148164116,0.9994439528861686,0.966436025541902,0.9826628809267748,0.989182974255956,51267,137,8552,246245,1.077177600003779,0.3021947999950498,-0.0007539830157236027,-0.003346472694620406,Worse than reference,Worse than reference,False,False
Random_8_03,8,87.6923076923077,0.9397389296573166,0.9978220482856528,0.9296106312083736,0.962509346250122,0.9958726180017516,50887,517,17935,236862,0.9473876999691128,0.3177320000249892,-0.02090751769237642,-0.023500007371273224,Worse than reference,Worse than reference,False,False
Random_8_04,8,87.6923076923077,0.9353235293157108,0.9996980458034744,0.922554033210752,0.9595780638945812,0.9971159395770588,51333,71,19733,235064,1.9585360999917607,0.3390260000014677,-0.023838800047917164,-0.026431289726813967,Worse than reference,Worse than reference,False,False
Random_8_05,8,87.6923076923077,0.9726944066152624,0.9997282718903354,0.9674485963335518,0.9833235932959288,0.9872493169043752,51337,67,8294,246503,1.251902999996673,0.2958296999568119,-9.327064656960982e-05,-0.002685760325466413,Approximately equal to reference,Worse than reference,False,False
Random_8_06,8,87.6923076923077,0.973331243202994,0.9994694057749712,0.9684650918181924,0.9837230162052264,0.9945176697409648,51273,131,8035,246762,1.5720995999872684,0.3219959000125527,0.00030615226272801,-0.0022863374161687933,Better than reference,Worse than reference,True,False
Random_8_07,8,87.6923076923077,0.972269848890108,0.9986032162464168,0.9680294508962036,0.9830786798540434,0.9881830296087558,51059,345,8146,246651,0.8617345999809913,0.2918925000121817,-0.0003381840884549847,-0.002930673767351788,Worse than reference,Worse than reference,False,False
Random_8_08,8,87.6923076923077,0.9418290599965382,0.9998228363894056,0.9302582055518708,0.9637868850459272,0.997720203913366,51362,42,17770,237027,1.1695585999987088,0.3171882000169717,-0.019629978896571143,-0.022222468575467946,Worse than reference,Worse than reference,False,False
Random_8_09,8,87.6923076923077,0.974673498780213,0.9995793731041456,0.9699721739266944,0.9845532390393728,0.9970393717975088,51300,104,7651,247146,1.0695074999821372,0.3450633999891579,0.0011363750968743647,-0.0014561145820224386,Better than reference,Worse than reference,True,False
Random_8_10,8,87.6923076923077,0.9726976724439176,0.9994487432562248,0.967723324842914,0.9833302094092592,0.9969237560560276,51268,136,8224,246573,1.4910323000513015,0.3509224999579601,-8.665453323919436e-05,-0.0026791442121359976,Approximately equal to reference,Worse than reference,False,False
Random_10_01,10,84.61538461538461,0.9294744301945456,0.9994731160686748,0.915728992099593,0.9557701563764094,0.987653631707818,51281,123,21472,233325,1.5722478000097908,0.3519722000346519,-0.027646707566089,-0.030239197244985805,Worse than reference,Worse than reference,False,False
Random_10_02,10,84.61538461538461,0.8889095724703707,0.9997510084159156,0.8667135013363579,0.9284909436437327,0.9866760165969612,51349,55,33961,220836,1.5117157999775372,0.352585699991323,-0.05492592029876564,-0.057518409977662444,Worse than reference,Worse than reference,False,False
Random_10_03,10,84.61538461538461,0.9735696486948116,0.999323990641116,0.9688928833541997,0.9838731854095468,0.987784040252719,51237,167,7926,246871,1.5403619999997318,0.3490792000084184,0.00045632146704843723,-0.002136168211848366,Better than reference,Worse than reference,True,False
Random_10_04,10,84.61538461538461,0.9728609638766692,0.9994731445569752,0.9678960113345132,0.983431164563827,0.9859394259194556,51274,130,8180,246617,2.19537070003571,0.3804591999505646,1.4300621328566798e-05,-0.0025781890575682365,Approximately equal to reference,Worse than reference,True,False
Random_10_05,10,84.61538461538461,0.9133249074954032,0.9981406230222296,0.897510567235878,0.9451546374709138,0.989899062566022,50978,426,26114,228683,1.28801930003101,0.332654999976512,-0.038262226471584615,-0.04085471615048142,Worse than reference,Worse than reference,False,False
Random_10_06,10,84.61538461538461,0.7369146410364433,0.98940520863762,0.6912404777136308,0.8138740183314118,0.9421340870325032,49518,1886,78671,176126,1.316223900008481,0.3821768999914638,-0.16954284561108657,-0.17213533528998337,Worse than reference,Worse than reference,False,False
Random_10_07,10,84.61538461538461,0.969833540713453,0.9906764285086282,0.97290391959089,0.9817097439126536,0.9693202488192932,49071,2333,6904,247893,1.4105532999965362,0.3923408999689854,-0.0017071200298447442,-0.0042996097087415475,Worse than reference,Worse than reference,False,False
Random_10_08,10,84.61538461538461,0.9064895281204176,0.999126059322034,0.8884013548040205,0.9405160826579856,0.9974171761411744,51206,198,28435,226362,1.6271993000409566,0.3418616000562906,-0.0429007812845128,-0.045493270963409604,Worse than reference,Worse than reference,False,False
Random_10_09,10,84.61538461538461,0.96811244901225,0.999690029977364,0.96197757430425,0.9804712969666908,0.9891709823505668,51328,76,9688,245109,1.817025099997409,0.3474333999911323,-0.002945566975807612,-0.005538056654704415,Worse than reference,Worse than reference,False,False
Random_10_10,10,84.61538461538461,0.9423450609240336,0.9996207700054356,0.9310666923079942,0.9641266357798912,0.9967718751175324,51314,90,17564,237233,1.7299505000119098,0.3633283000090159,-0.01929022816260717,-0.021882717841503974,Worse than reference,Worse than reference,False,False
