method,subset_name,feature_rank,feature_name,baseline_importance
baseline_random_forest_mdi_rank_top_k,Top_20,19,Flow Bytes/s,0.0176492764379366
baseline_random_forest_mdi_rank_top_k,Top_20,20,Bwd Packet Length Min,0.0159550707295934
baseline_random_forest_mdi_rank_top_k,Top_10,1,URG Flag Count,0.0993175085425371
baseline_random_forest_mdi_rank_top_k,Top_10,2,Bwd Packets/s,0.095232800347493
baseline_random_forest_mdi_rank_top_k,Top_10,3,Packet Length Min,0.0576908485239037
baseline_random_forest_mdi_rank_top_k,Top_10,4,Bwd Packet Length Max,0.0550381847197368
baseline_random_forest_mdi_rank_top_k,Top_10,5,Bwd Packet Length Mean,0.0494777561807203
baseline_random_forest_mdi_rank_top_k,Top_10,6,Avg Bwd Segment Size,0.0479466218536774
baseline_random_forest_mdi_rank_top_k,Top_10,7,Bwd Packets Length Total,0.0413302247704075
baseline_random_forest_mdi_rank_top_k,Top_10,8,Init Bwd Win Bytes,0.0399146063749103
baseline_random_forest_mdi_rank_top_k,Top_10,9,Fwd Packet Length Min,0.0392148355661936
baseline_random_forest_mdi_rank_top_k,Top_10,10,Subflow Bwd Bytes,0.031945601840571
